Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,
Institution_Name,Wesleyan University,,,,,,,,,,,,,,,,,,,,,
Institution_ID,iopscience:3_635,,,,,,,,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2019-07-01; End_Date=2020-06-30,,,,,,,,,,,,,,,,,,,,,
Created,2021-07-29T16:58:58Z,,,,,,,,,,,,,,,,,,,,,
Created_By,MPS for IOPSCIENCE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jul-2019,Aug-2019,Sep-2019,Oct-2019,Nov-2019,Dec-2019,Jan-2020,Feb-2020,Mar-2020,Apr-2020,May-2020,Jun-2020
Clinical Physics and Physiological Measurement,IOP,,IOPscience,10.1088/issn.0143-0815,iopscience:0143-0815,0143-0815,,http://iopscience.iop.org/journal/0143-0815,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,0,1
Izvestiya: Mathematics,IOP,,IOPscience,10.1088/issn.1064-5632,iopscience:1064-5632,1064-5632,1468-4810,http://iopscience.iop.org/journal/1064-5632,Unique_Item_Requests,1,0,0,0,1,0,0,0,0,0,0,0,0
Journal of High Energy Physics,IOP,,IOPscience,10.1088/issn.1126-6708,iopscience:1126-6708,,1029-8479,http://iopscience.iop.org/journal/1126-6708,Unique_Item_Requests,1,0,1,0,0,0,0,0,0,0,0,0,0
Journal of Optics,IOP,,IOPscience,10.1088/issn.0150-536X,iopscience:0150-536X,0150-536X,,http://iopscience.iop.org/journal/0150-536X,Unique_Item_Requests,1,0,0,0,0,0,1,0,0,0,0,0,0
Journal of Optics B: Quantum and Semiclassical Optics,IOP,,IOPscience,10.1088/issn.1464-4266,iopscience:1464-4266,1464-4266,1741-3575,http://iopscience.iop.org/journal/1464-4266,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,0,0,1,0
Journal of Physics A: Mathematical Nuclear and General,IOP,,IOPscience,10.1088/issn.0301-0015,iopscience:0301-0015,0301-0015,,http://iopscience.iop.org/journal/0301-0015,Unique_Item_Requests,1,0,0,0,0,0,1,0,0,0,0,0,0
Journal of Radiological Protection,IOP,,IOPscience,10.1088/issn.0952-4746,iopscience:0952-4746,0952-4746,1361-6498,http://iopscience.iop.org/journal/0952-4746,Unique_Item_Requests,1,0,0,1,0,0,0,0,0,0,0,0,0
Mathematics of the USSR-Sbornik,IOP,,IOPscience,10.1088/issn.0025-5734,iopscience:0025-5734,0025-5734,,http://iopscience.iop.org/journal/0025-5734,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Methods and Applications in Fluorescence,IOP,,IOPscience,10.1088/issn.2050-6120,iopscience:2050-6120,,2050-6120,http://iopscience.iop.org/journal/2050-6120,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Physics World,IOP,,IOPscience,10.1088/issn.2058-7058,iopscience:2058-7058,0953-8585,2058-7058,http://iopscience.iop.org/journal/2058-7058,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Plasma Physics and Controlled Fusion,IOP,,IOPscience,10.1088/issn.0741-3335,iopscience:0741-3335,0741-3335,1361-6587,http://iopscience.iop.org/journal/0741-3335,Unique_Item_Requests,1,0,0,0,1,0,0,0,0,0,0,0,0
Plasma Science and Technology,IOP,,IOPscience,10.1088/issn.1009-0630,iopscience:1009-0630,1009-0630,2058-6272,http://iopscience.iop.org/journal/1009-0630,Unique_Item_Requests,1,0,0,0,0,1,0,0,0,0,0,0,0
Proceedings of the Physical Society,IOP,,IOPscience,10.1088/issn.0370-1328,iopscience:0370-1328,0370-1328,,http://iopscience.iop.org/journal/0370-1328,Unique_Item_Requests,1,0,0,0,0,0,1,0,0,0,0,0,0
Progress in Energy,IOP,,IOPscience,10.1088/issn.2516-1083,iopscience:2516-1083,,2516-1083,http://iopscience.iop.org/journal/2516-1083,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,1,0,0,0
Semiconductor Science and Technology,IOP,,IOPscience,10.1088/issn.0268-1242,iopscience:0268-1242,0268-1242,1361-6641,http://iopscience.iop.org/journal/0268-1242,Unique_Item_Requests,1,0,0,0,0,0,0,1,0,0,0,0,0
Soviet Journal of Quantum Electronics,IOP,,IOPscience,10.1088/issn.0049-1748,iopscience:0049-1748,0049-1748,,http://iopscience.iop.org/journal/0049-1748,Unique_Item_Requests,1,0,0,0,0,0,0,0,0,1,0,0,0
Superconductor Science and Technology,IOP,,IOPscience,10.1088/issn.0953-2048,iopscience:0953-2048,0953-2048,1361-6668,http://iopscience.iop.org/journal/0953-2048,Unique_Item_Requests,1,0,0,0,1,0,0,0,0,0,0,0,0
Total unique item requests:,,,,,,,,,,1616,,,,,,,,,,,,
